DBN,School,NumberStudents,ReadingMean,MathMean,WritingMean
17,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71,361,376,365
17,HS FOR SERVICE AND LEARNING AT ERASMUS ,54,371,366,381
17,SCIENCE TECH RESEARCH HS AT ERASMUS ,68,445,425,415
17,INTERNATIONAL ARTS BUSINESS HS ,49,392,390,381
17,HIGH SCHOOL FOR PUBLIC SERVICE ,83,412,427,420
17,Brooklyn High School for Science and the Environ ,45,391,396,388
18,BROOKLYN HS MUSIC AND THEATER ,37,385,351,381
18,BROWNSVILLE ACADEMY HIGH SCHOOL ,20,356,358,366
18,Medgar Evers College Preparatory High School ,113,459,482,452
19,Clara Barton High School ,282,419,413,411
19,Paul Robeson High School ,121,355,358,348
19,SAMUEL J TILDEN HIGH SCHOOL ,42,328,341,338
19,CANARSIE HIGH SCHOOL ,128,372,373,364
20,NEW UTRECHT HIGH SCHOOL ,317,409,471,407
20,High School of Telecommunication Arts ,221,450,471,440
20,FORT HAMILTON HIGH SCHOOL ,581,416,486,409
20,Franklin D Roosevelt High School ,385,387,492,377
20,YABC at Franklin D. Roosevelt High School ,33,363,443,369
21,International High School at LaFayette ,35,355,395,355
21,Rachel Carson High School for Coastal Studies ,66,422,459,418
21,HIGH SCHOOL OF SPORTS MANAGEMENT ,33,370,427,381
21,LAFAYETTE HIGH SCHOOL ,40,327,367,315
21,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385
21,BROOKLYN STUDIO SECONDARY SCH ,86,426,419,418
21,Liberation Diploma Plus High School ,13,402,351,380
22,Midwood High School at Brooklyn College ,725,493,543,491
22,JAMES MADISON HIGH SCHOOL ,641,449,478,445
22,SHEEPSHEAD BAY HIGH SCHOOL ,192,380,416,380
22,LEON M GOLDSTEIN HIGH SCHOOL ,239,543,578,559
22,Brooklyn College Academy High School ,109,459,460,446
23,BROOKLYN COLLEGIATE ,37,394,372,375
23,Frederick Douglass Academy VII High School ,50,416,396,414
23,Brooklyn Democracy Academy ,18,347,371,323
23,EBC High School for Public Service - East New York ,24,376,358,368
23,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35,349,329,341
23,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ,12,385,378,391
23,TEACHERS PREPARATORY SCHOOL ,59,396,389,389
24,ACADEMY OF FINANCE AND ENTERPRISE ,65,407,432,417
24,High School of Applied Communication ,67,411,420,407
24,BARD HIGH SCHOOL EARLY COLLEGE II ,42,545,548,541
24,NEWTOWN HIGH SCHOOL ,251,379,427,372
24,GROVER CLEVELAND HIGH SCHOOL ,269,398,431,391
24,MIDDLE COLLEGE HIGH SCHOOL ,32,386,402,373
24,INTERNATL HS@LA GUARDIA COMM C ,75,355,428,359
24,HIGH SCHOOL FOR ARTS/BUSINESS ,127,363,372,363
24,ROBERT F WAGNER JR SECONDARY ,49,420,440,421
24,Queens Vocational & Tech High School ,130,415,428,401
24,Aviation Career & Technical Education High School ,289,444,494,427
24,VOYAGES PREPARATORY HIGH SCHOOL ,7,416,413,364
25,FLUSHING INTERNATIONAL HIGH SCHOOL ,57,325,415,311
25,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50,438,485,442
25,WORLD JOURNALISM PREPARATORY SCHOOL ,56,429,425,421
25,JOHN BOWNE HIGH SCHOOL ,302,391,423,389
25,FLUSHING HIGH SCHOOL ,278,372,398,366
25,Townsend Harris High School at Queens College ,273,637,644,642
25,QUEENS ACADEMY ,22,400,395,391
25,Robert F Kennedy Community High School ,61,449,471,462
25,North Queens Community High School ,22,434,422,422
